window_quarters,quarter,train_rows,test_rows,rank_ic,p_value,decile_spread
6,2019Q2,8009,1418,0.05817430710732042,0.02848401463120649,0.03124057439093368
6,2019Q3,8021,1886,-0.03852120406176155,0.0944426402078932,0.009462358481976848
6,2019Q4,8496,1424,0.11946929205823767,6.168673520682386e-06,0.09314134869766547
6,2020Q1,8507,1435,0.19934375961422585,2.508313995582572e-14,0.1556753127598428
6,2020Q2,8529,1440,0.18508394797063357,1.4563425681369155e-12,0.141050011339484
6,2020Q3,8553,1443,0.0509553047565662,0.052964435314839714,0.06477593115154423
6,2020Q4,9046,1443,0.16501484928607693,2.858982652643762e-10,0.03863558960874734
6,2021Q1,9071,1449,0.05585155741737919,0.03351532431541818,0.03288553236237008
6,2021Q2,8634,1449,-0.021216130502390188,0.41966567063730914,-0.009585191831562662
6,2021Q3,8659,1454,0.10556547820137219,5.5030304958216747e-05,0.08017964865940248
6,2021Q4,8678,1460,-0.042004846545109914,0.10863993814386763,-0.004461937430303119
6,2022Q1,8698,1467,-0.0682717255496319,0.008903733143310746,0.028851019903181164
6,2022Q2,8722,1469,-0.08655318067468938,0.0008976640247238824,-0.02527177630923292
6,2022Q3,8748,1470,0.09132100847480147,0.0004554954409764386,0.06361963536569028
6,2022Q4,8769,1472,-0.2522136579840803,8.557237994847908e-23,-0.10955937153915543
6,2023Q1,8792,1473,-0.08314847670684854,0.001402990720336571,-0.03278062404680866
6,2023Q2,8811,1006,0.1256099458399075,6.47180384239308e-05,0.16804299767441688
6,2023Q3,8357,1473,0.05847974721262822,0.024803482890540313,0.04032336287141626
6,2023Q4,8363,1476,0.25916873856873784,4.415942179889771e-24,0.1626701456592536
6,2024Q1,8370,1472,0.15078440747839078,6.119985387327815e-09,0.1438686076696518
6,2024Q2,8372,1479,-0.0009252825443430965,0.9716378094404734,0.01165090808789892
6,2024Q3,8379,1486,0.23117348756108855,1.7729835346956285e-19,0.162290713178119
6,2024Q4,8392,1484,0.17619021872692386,8.192238537975945e-12,0.13293983553312988
6,2025Q1,8870,1479,0.12554035421005288,1.278342628428332e-06,0.06510330803296556
6,2025Q2,8876,1487,0.3583453314532739,2.7610211788869514e-46,0.26108116535841136
6,2025Q3,8887,1489,-0.061003879389785146,0.018562276282318105,-0.015470221825267368
6,2025Q4,8904,1493,0.03242014863012921,0.21057947628037943,0.007814313472344639
6,2026Q1,8918,1486,0.32358033095201555,1.4550258592546042e-37,0.3371791628700703
6,2026Q2,8918,1476,0.08579919889062936,0.0009682588764038023,0.13478398387206583
8,2017Q4,1868,1406,0.20788089785358543,3.4326117828544045e-15,0.07437671238099292
8,2018Q1,3274,1411,-0.061535937557087216,0.02079786283119842,-0.022172945406010128
8,2018Q2,4685,1413,0.11820676062611106,8.386413550663993e-06,0.08436751350646116
8,2018Q3,6098,1413,-0.18445772078913703,2.7952473973922137e-12,-0.07078266219362318
8,2018Q4,7511,1416,0.12279005992094426,3.5861918138969472e-06,0.06479860574817142
8,2019Q1,8927,950,0.002196861489979692,0.9460859435579887,0.01936535459772335
8,2019Q2,9877,1418,0.08248507239679537,0.0018794721816690649,0.05012852716698982
