quarter,sector,share_of_universe,share_of_top_decile,gap
2019Q4,Automobile and Auto Components,0.07692307692307693,0.04,-0.036923076923076927
2019Q4,Information Technology,0.0650887573964497,0.1,0.0349112426035503
2019Q4,Metals & Mining,0.05917159763313609,0.06,0.0008284023668639062
2019Q4,Oil Gas & Consumable Fuels,0.05325443786982249,0.02,-0.03325443786982249
2019Q4,Power,0.047337278106508875,0.08,0.03266272189349113
2019Q4,Consumer Durables,0.03550295857988166,0.06,0.02449704142011834
2019Q4,Chemicals,0.03550295857988166,0.04,0.004497041420118343
2019Q4,Realty,0.029585798816568046,0.0,-0.029585798816568046
2019Q4,Consumer Services,0.029585798816568046,0.2,0.17041420118343198
2019Q4,Telecommunication,0.023668639053254437,0.02,-0.003668639053254437
2019Q4,Construction Materials,0.023668639053254437,0.0,-0.023668639053254437
2019Q4,Services,0.023668639053254437,0.02,-0.003668639053254437
2019Q4,Textiles,0.005917159763313609,0.04,0.03408284023668639
2019Q4,Construction,0.005917159763313609,0.02,0.014082840236686392
2020Q1,Financial Services,0.2222222222222222,0.09803921568627451,-0.1241830065359477
2020Q1,Capital Goods,0.09746588693957114,0.0196078431372549,-0.07785804380231624
2020Q1,Fast Moving Consumer Goods,0.08187134502923976,0.13725490196078433,0.055383556931544564
2020Q1,Healthcare,0.08187134502923976,0.0196078431372549,-0.06226350189198486
2020Q1,Automobile and Auto Components,0.07602339181286549,0.0196078431372549,-0.05641554867561059
2020Q1,Information Technology,0.0682261208576998,0.0784313725490196,0.010205251691319805
2020Q1,Metals & Mining,0.05847953216374269,0.0392156862745098,-0.019263845889232883
2020Q1,Oil Gas & Consumable Fuels,0.05263157894736842,0.058823529411764705,0.006191950464396287
2020Q1,Power,0.04678362573099415,0.1568627450980392,0.11007911936704506
2020Q1,Consumer Durables,0.03508771929824561,0.058823529411764705,0.023735810113519093
2020Q1,Chemicals,0.03508771929824561,0.0196078431372549,-0.01547987616099071
2020Q1,Consumer Services,0.029239766081871343,0.11764705882352941,0.08840729274165807
2020Q1,Realty,0.029239766081871343,0.0392156862745098,0.00997592019263846
2020Q1,Services,0.023391812865497075,0.0392156862745098,0.01582387340901273
2020Q1,Telecommunication,0.023391812865497075,0.0196078431372549,-0.003783969728242173
2020Q1,Construction Materials,0.023391812865497075,0.0784313725490196,0.05503955968352253
2020Q1,Construction,0.009746588693957114,0.0,-0.009746588693957114
2020Q1,Textiles,0.005847953216374269,0.0,-0.005847953216374269
2020Q2,Financial Services,0.2196078431372549,0.3137254901960784,0.09411764705882353
2020Q2,Capital Goods,0.09803921568627451,0.058823529411764705,-0.0392156862745098
2020Q2,Fast Moving Consumer Goods,0.08235294117647059,0.0196078431372549,-0.06274509803921569
2020Q2,Healthcare,0.0803921568627451,0.1568627450980392,0.07647058823529411
2020Q2,Automobile and Auto Components,0.07647058823529412,0.0784313725490196,0.0019607843137254832
2020Q2,Information Technology,0.07058823529411765,0.058823529411764705,-0.011764705882352941
2020Q2,Metals & Mining,0.058823529411764705,0.0196078431372549,-0.0392156862745098
2020Q2,Oil Gas & Consumable Fuels,0.052941176470588235,0.0,-0.052941176470588235
2020Q2,Power,0.047058823529411764,0.09803921568627451,0.050980392156862744
2020Q2,Chemicals,0.03529411764705882,0.0392156862745098,0.00392156862745098
